frame,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0,0.4765682816505432,0.1939447522163391,-0.00426467414945364,0.9991962313652039,0.4765109419822693,0.17394667863845825,-0.02897835336625576,0.9990403056144714,0.4774577021598816,0.17322805523872375,-0.029038725420832634,0.9988644123077393,0.4783799350261688,0.17236727476119995,-0.02902356907725334,0.9992038607597351,0.47585809230804443,0.17331379652023315,0.009606287814676762,0.9991476535797119,0.47645092010498047,0.1721404790878296,0.009581398218870163,0.9988560676574707,0.47712066769599915,0.17058134078979492,0.009485549293458462,0.9992434978485107,0.490848183631897,0.17234337329864502,-0.09144704788923264,0.9988422989845276,0.49020880460739136,0.16839304566383362,0.07845515757799149,0.9978880286216736,0.484291136264801,0.2046056091785431,-0.024122091010212898,0.999016284942627,0.4832621216773987,0.2052125632762909,0.02526732161641121,0.9984862208366394,0.5310078859329224,0.24043375253677368,-0.1833619326353073,0.9994871616363525,0.5222815275192261,0.24025268852710724,0.19061879813671112,0.9993745684623718,0.5070385336875916,0.3708145022392273,-0.1954539716243744,0.9824087023735046,0.5080136060714722,0.36032623052597046,0.2475563883781433,0.24434061348438263,0.4650965631008148,0.4157596826553345,-0.08444755524396896,0.9572539925575256,0.4595663845539093,0.4168817400932312,0.17621789872646332,0.45956459641456604,0.4508298635482788,0.4291231036186218,-0.10507898777723312,0.926987886428833,0.4443437457084656,0.43132418394088745,0.1787414848804474,0.44031649827957153,0.44666993618011475,0.417482852935791,-0.0968366414308548,0.9218288064002991,0.4422735571861267,0.4213799834251404,0.14554694294929504,0.45980918407440186,0.45161157846450806,0.41404151916503906,-0.07623854279518127,0.887840211391449,0.4485759139060974,0.4173673987388611,0.15907123684883118,0.4888215959072113,0.5913761258125305,0.47179773449897766,-0.11181588470935822,0.9969370365142822,0.5913415551185608,0.46460333466529846,0.11199863255023956,0.99815434217453,0.5646094083786011,0.6541191339492798,-0.11995809525251389,0.9489535689353943,0.6082991361618042,0.6543503999710083,0.1207866370677948,0.6819254755973816,0.5166489481925964,0.8690857291221619,-0.0965798944234848,0.9907165169715881,0.6863934397697449,0.8267728686332703,0.13423806428909302,0.9285699129104614,0.5249295234680176,0.9155813455581665,-0.09724422544240952,0.9878674745559692,0.7112236022949219,0.8452825546264648,0.13242386281490326,0.9315179586410522,0.46310192346572876,0.8980194926261902,-0.16843193769454956,0.9874411821365356,0.6639392375946045,0.9081757664680481,0.07879919558763504,0.9172554016113281
1,0.4761933982372284,0.19359269738197327,-0.011275636963546276,0.9992160797119141,0.47655725479125977,0.17377391457557678,-0.03389858081936836,0.9990566372871399,0.4776720106601715,0.1729898750782013,-0.033945661038160324,0.9988866448402405,0.4787960648536682,0.1720687597990036,-0.033906083554029465,0.9992145299911499,0.4757900536060333,0.17325031757354736,0.0031209969893097878,0.9991614818572998,0.4763636887073517,0.17209678888320923,0.003081957809627056,0.9988722801208496,0.47700023651123047,0.17055630683898926,0.002980513032525778,0.9992515444755554,0.4919735789299011,0.1718658208847046,-0.09058575332164764,0.9988436102867126,0.49021127820014954,0.1683966964483261,0.0761185735464096,0.9979614019393921,0.48411232233047485,0.20433276891708374,-0.027609389275312424,0.9990515112876892,0.48281005024909973,0.20503555238246918,0.019989220425486565,0.9985372424125671,0.5337041616439819,0.23993182182312012,-0.18256212770938873,0.999504804611206,0.5187968015670776,0.2436715066432953,0.1873757541179657,0.9994075298309326,0.5104785561561584,0.36356842517852783,-0.2651912569999695,0.9825939536094666,0.5005204677581787,0.36031800508499146,0.24982422590255737,0.26310282945632935,0.4653661549091339,0.41491594910621643,-0.27822360396385193,0.9592556953430176,0.45799219608306885,0.41691091656684875,0.18342331051826477,0.4845622777938843,0.4513104259967804,0.42838096618652344,-0.3153533339500427,0.9308310747146606,0.44437965750694275,0.4309993386268616,0.18320538103580475,0.4625834822654724,0.44703060388565063,0.41744500398635864,-0.30578336119651794,0.9259181618690491,0.44218629598617554,0.4214714467525482,0.14918336272239685,0.48189252614974976,0.45216116309165955,0.41392382979393005,-0.27344605326652527,0.8928567171096802,0.4484451711177826,0.417432963848114,0.16589052975177765,0.5095763802528381,0.5921245813369751,0.47055289149284363,-0.11191494762897491,0.9970386028289795,0.5880900025367737,0.4646036922931671,0.11207814514636993,0.9982005953788757,0.5650742650032043,0.6549633741378784,-0.13877789676189423,0.9445504546165466,0.6064309477806091,0.6538415551185608,0.07531809061765671,0.6756786108016968,0.5179235935211182,0.8698916435241699,-0.1387171894311905,0.9901952743530273,0.6864689588546753,0.8260895609855652,0.09737018495798111,0.9236128330230713,0.5260925889015198,0.9170461893081665,-0.14209134876728058,0.9867308139801025,0.7108087539672852,0.8452807068824768,0.09623311460018158,0.9279307723045349,0.46506717801094055,0.8981053829193115,-0.22468216717243195,0.9870342016220093,0.6635240912437439,0.9080892205238342,0.03182794526219368,0.9150918126106262
2,0.4757522940635681,0.19342607259750366,-0.01255013607442379,0.9992365837097168,0.47654834389686584,0.1736949235200882,-0.034964077174663544,0.9990745186805725,0.47769492864608765,0.17286503314971924,-0.03500832989811897,0.9989102482795715,0.478889524936676,0.1718987375497818,-0.034963689744472504,0.999226987361908,0.47560590505599976,0.1732276827096939,0.001866827136836946,0.9991771578788757,0.47617071866989136,0.17208173871040344,0.0018257221672683954,0.9988913536071777,0.4767928123474121,0.17054817080497742,0.001723330351524055,0.9992616772651672,0.4923510253429413,0.17156179249286652,-0.09000187367200851,0.9988487362861633,0.4901885986328125,0.1684057116508484,0.07539767771959305,0.9980320334434509,0.4838726818561554,0.20418880879878998,-0.028462981805205345,0.9990845918655396,0.4824143350124359,0.20494917035102844,0.018855804577469826,0.9985848665237427,0.53485506772995,0.23945306241512299,-0.1823427826166153,0.9995214343070984,0.5172876119613647,0.24542750418186188,0.18610535562038422,0.9994372725486755,0.5121254324913025,0.36091452836990356,-0.2690201997756958,0.9827589392662048,0.49843257665634155,0.36053067445755005,0.25012722611427307,0.27923521399497986,0.4654967188835144,0.4145251214504242,-0.2787872850894928,0.9610285758972168,0.4569621682167053,0.41693076491355896,0.1838388890028,0.5066835880279541,0.45160144567489624,0.4278492033481598,-0.31538093090057373,0.9342512488365173,0.4440852403640747,0.43090030550956726,0.18328383564949036,0.48226198554039,0.44726839661598206,0.41741010546684265,-0.30587974190711975,0.9295621514320374,0.44204938411712646,0.4214853346347809,0.14923091232776642,0.5014090538024902,0.45249608159065247,0.41385406255722046,-0.2739308774471283,0.8973420262336731,0.4482453465461731,0.41745269298553467,0.16626498103141785,0.5278847813606262,0.5926128625869751,0.46970418095588684,-0.11208907514810562,0.9971378445625305,0.5868603587150574,0.46460390090942383,0.11223072558641434,0.9982454776763916,0.565319299697876,0.6555489301681519,-0.14329473674297333,0.9404602646827698,0.60532546043396,0.6535218954086304,0.07204537838697433,0.6690480709075928,0.5186830759048462,0.8710299730300903,-0.14534519612789154,0.9897326231002808,0.6864955425262451,0.8255944848060608,0.09485851228237152,0.9188888669013977,0.527134358882904,0.9184967279434204,-0.1488259732723236,0.9857534170150757,0.7105077505111694,0.845276415348053,0.09388384968042374,0.9246280789375305,0.4659312963485718,0.8984168171882629,-0.23070493340492249,0.9866903424263,0.6631590127944946,0.9080219864845276,0.030896134674549103,0.913010835647583
3,0.4751036763191223,0.1933581680059433,-0.01945684663951397,0.9992421865463257,0.4763547480106354,0.17366823554039001,-0.0416252464056015,0.9990779161453247,0.4776138961315155,0.17284554243087769,-0.04166316241025925,0.9989169239997864,0.47886326909065247,0.17188501358032227,-0.0416153147816658,0.9992269277572632,0.47521495819091797,0.1731901317834854,-0.005211094859987497,0.9991776943206787,0.47578999400138855,0.17204827070236206,-0.005247081629931927,0.998894214630127,0.4764292538166046,0.17051970958709717,-0.005344846285879612,0.9992610812187195,0.49232348799705505,0.17156821489334106,-0.09277065098285675,0.9988382458686829,0.48994845151901245,0.1684747338294983,0.06829386204481125,0.9980701208114624,0.4834950268268585,0.20418763160705566,-0.03499516099691391,0.9990975856781006,0.48198235034942627,0.20494447648525238,0.011628210544586182,0.9985958933830261,0.5347144603729248,0.23943552374839783,-0.18641379475593567,0.9995307922363281,0.517122745513916,0.2462054193019867,0.17859777808189392,0.9994548559188843,0.5119227766990662,0.36120471358299255,-0.26293545961380005,0.9829624891281128,0.4990232586860657,0.3617376387119293,0.23222540318965912,0.29480889439582825,0.4654691815376282,0.41460269689559937,-0.24867235124111176,0.9626311659812927,0.4569803774356842,0.41755595803260803,0.1524307280778885,0.5241771340370178,0.4515262842178345,0.42785879969596863,-0.2825010418891907,0.9371733665466309,0.4446578025817871,0.4310550391674042,0.14815552532672882,0.49785181879997253,0.44727978110313416,0.41803956031799316,-0.27446281909942627,0.9327114224433899,0.44314733147621155,0.4222278892993927,0.11608663946390152,0.5170143842697144,0.45265883207321167,0.41426005959510803,-0.24380041658878326,0.9014118909835815,0.44866302609443665,0.41865891218185425,0.1350700706243515,0.5420960783958435,0.5949079394340515,0.46773913502693176,-0.11191315948963165,0.9971541166305542,0.5865558981895447,0.46353626251220703,0.11203170567750931,0.9982612133026123,0.566267728805542,0.6569907665252686,-0.13860778510570526,0.9380021691322327,0.5927067995071411,0.6535192728042603,0.05965248867869377,0.6695758104324341,0.5273428559303284,0.871070384979248,-0.10974761843681335,0.9891487956047058,0.6833616495132446,0.8137737512588501,0.0857027992606163,0.9162733554840088,0.5358428955078125,0.9184733033180237,-0.10826976597309113,0.9850137829780579,0.7053350210189819,0.8258223533630371,0.08531439304351807,0.9227659702301025,0.480899453163147,0.901980996131897,-0.17812837660312653,0.9860352873802185,0.6647530794143677,0.9091190695762634,0.028626756742596626,0.910668134689331
4,0.47439566254615784,0.19335807859897614,-0.022537674754858017,0.9992101788520813,0.47584307193756104,0.17379559576511383,-0.04466644302010536,0.9990277886390686,0.4771699905395508,0.17300835251808167,-0.0447046235203743,0.9988678693771362,0.47847411036491394,0.17206799983978271,-0.04465370252728462,0.9991821050643921,0.4746982455253601,0.17325595021247864,-0.008415916003286839,0.9991196990013123,0.47532978653907776,0.17210514843463898,-0.008452566340565681,0.9988297820091248,0.4760371446609497,0.1705654412508011,-0.008562371134757996,0.9992150664329529,0.4916422665119171,0.17163889110088348,-0.09369759261608124,0.9987437129020691,0.48954012989997864,0.16855578124523163,0.0661667212843895,0.9980343580245972,0.4829644560813904,0.2041989415884018,-0.03744412586092949,0.9990682005882263,0.481570839881897,0.20494075119495392,0.009003173559904099,0.9985237717628479,0.5346277356147766,0.23895099759101868,-0.18801967799663544,0.9995405077934265,0.5172894597053528,0.24647487699985504,0.17537376284599304,0.9994672536849976,0.5122585296630859,0.36017537117004395,-0.2868807017803192,0.9822816252708435,0.4996219277381897,0.36185598373413086,0.22222323715686798,0.31109440326690674,0.465700626373291,0.41497111320495605,-0.3082598149776459,0.9633826017379761,0.45716458559036255,0.41887617111206055,0.1384740024805069,0.5413883924484253,0.45166170597076416,0.42849427461624146,-0.3461483120918274,0.9392341375350952,0.445117324590683,0.43180838227272034,0.13229785859584808,0.5135950446128845,0.44785192608833313,0.420648992061615,-0.3376336693763733,0.9349769353866577,0.44386395812034607,0.42441117763519287,0.10126344114542007,0.5327610373497009,0.45356595516204834,0.4165921211242676,-0.3043578565120697,0.904053270816803,0.44904011487960815,0.42130300402641296,0.12123838067054749,0.5559195280075073,0.5984401702880859,0.4661450982093811,-0.11215267330408096,0.9972100853919983,0.5866305828094482,0.46310606598854065,0.11223925650119781,0.998281717300415,0.5691942572593689,0.6569775342941284,-0.15846170485019684,0.9366143345832825,0.5836719274520874,0.6531440019607544,0.037346649914979935,0.6741549372673035,0.5379635691642761,0.8710550665855408,-0.10739053785800934,0.9887213706970215,0.6767258048057556,0.7962143421173096,0.08422914147377014,0.9144756197929382,0.5479415059089661,0.9168347120285034,-0.10406705737113953,0.9841177463531494,0.6982653737068176,0.8035697340965271,0.08598794043064117,0.9215037822723389,0.4929649233818054,0.9051434397697449,-0.1744035929441452,0.9855738878250122,0.6679426431655884,0.9090714454650879,0.03157814219594002,0.9091876149177551
5,0.4743305444717407,0.1946730762720108,-0.026740500703454018,0.9991429448127747,0.4757521450519562,0.1757340431213379,-0.04913495108485222,0.9989179372787476,0.47705742716789246,0.17500078678131104,-0.049172598868608475,0.9987486004829407,0.47833073139190674,0.17408578097820282,-0.049129705876111984,0.9990837574005127,0.4746641218662262,0.17483791708946228,-0.012724478729069233,0.9989983439445496,0.47531354427337646,0.17351342737674713,-0.012763256207108498,0.9986903071403503,0.47603312134742737,0.17179802060127258,-0.012873727828264236,0.9991292357444763,0.4911234974861145,0.17283396422863007,-0.09929303079843521,0.9985697269439697,0.4895281493663788,0.1692173033952713,0.060920748859643936,0.9979203343391418,0.4829377830028534,0.20527303218841553,-0.04230824485421181,0.9989977478981018,0.48157912492752075,0.20560863614082336,0.004314610734581947,0.998420238494873,0.5345324277877808,0.23922622203826904,-0.19094182550907135,0.9995507001876831,0.5176292061805725,0.24611742794513702,0.16970494389533997,0.9994857311248779,0.5122655034065247,0.36086201667785645,-0.26902052760124207,0.9815624952316284,0.5000282526016235,0.3598630428314209,0.22326715290546417,0.3218027651309967,0.46658849716186523,0.41591203212738037,-0.2517200708389282,0.9634256958961487,0.45776471495628357,0.41906973719596863,0.14539241790771484,0.5530247092247009,0.452348530292511,0.42937132716178894,-0.28295499086380005,0.9400727152824402,0.4457210600376129,0.4318833351135254,0.14023056626319885,0.5241217613220215,0.449951171875,0.42209842801094055,-0.27621516585350037,0.935979425907135,0.4440784454345703,0.4255027174949646,0.10955576598644257,0.5435202121734619,0.45551079511642456,0.4184187352657318,-0.24740222096443176,0.9048339128494263,0.4498060345649719,0.42202988266944885,0.12844763696193695,0.5650895237922668,0.6009521484375,0.46362414956092834,-0.11167130619287491,0.9972618222236633,0.5869163870811462,0.4616265892982483,0.11173257976770401,0.9983295202255249,0.5714538097381592,0.6573531627655029,-0.15041346848011017,0.9343493580818176,0.576789140701294,0.6510423421859741,0.019757669419050217,0.6713247299194336,0.5484011173248291,0.8697006106376648,-0.0879228264093399,0.987515926361084,0.6697883605957031,0.789428174495697,0.0575188510119915,0.9076657295227051,0.5892947912216187,0.8815781474113464,-0.08291976898908615,0.9820687770843506,0.6921833753585815,0.795549750328064,0.05826634168624878,0.9153986573219299,0.5065032839775085,0.9078869223594666,-0.14725361764431,0.9843443632125854,0.6668367385864258,0.9047704339027405,0.004084201063960791,0.9043000340461731
6,0.47427839040756226,0.1954430639743805,-0.029657812789082527,0.9990531206130981,0.4756891429424286,0.17685368657112122,-0.0523759201169014,0.9987960457801819,0.47698307037353516,0.17616857588291168,-0.05241340398788452,0.9986153841018677,0.47823992371559143,0.1752893626689911,-0.05237286537885666,0.9989765286445618,0.47463926672935486,0.1757548451423645,-0.015706311911344528,0.9988629221916199,0.47530215978622437,0.17434340715408325,-0.015743238851428032,0.9985319972038269,0.47603100538253784,0.1725359708070755,-0.015855053439736366,0.999026894569397,0.4908469617366791,0.1737423688173294,-0.10299160331487656,0.9983676671981812,0.48952558636665344,0.16973967850208282,0.058241914957761765,0.997760534286499,0.4829225540161133,0.20595033466815948,-0.04538719728589058,0.9989145994186401,0.4815855622291565,0.20604519546031952,0.0015498081920668483,0.9982745051383972,0.5344539880752563,0.23958347737789154,-0.19324807822704315,0.9995536208152771,0.5180491209030151,0.2458457052707672,0.1668807417154312,0.9994948506355286,0.5123183131217957,0.3610425591468811,-0.2718219757080078,0.9805467128753662,0.5003957152366638,0.3582126796245575,0.21766623854637146,0.33004382252693176,0.46766600012779236,0.41631993651390076,-0.2621996998786926,0.9632336497306824,0.45856791734695435,0.4191667139530182,0.1370694637298584,0.5610890984535217,0.4533293545246124,0.4301082491874695,-0.2955034077167511,0.9406068921089172,0.44641047716140747,0.43200820684432983,0.13138923048973083,0.5315698981285095,0.4518738389015198,0.42290347814559937,-0.28863754868507385,0.9366806745529175,0.4454280138015747,0.4257749915122986,0.1008480116724968,0.5511494874954224,0.45724761486053467,0.4192865788936615,-0.2582595646381378,0.905310332775116,0.4506787657737732,0.4224833846092224,0.12016550451517105,0.5712290406227112,0.6018478274345398,0.4626282751560211,-0.11145570874214172,0.9972966313362122,0.5872851610183716,0.46072688698768616,0.1115039810538292,0.99834805727005,0.5723410248756409,0.6577991247177124,-0.15574048459529877,0.9318714141845703,0.5765636563301086,0.6506941318511963,0.022613676264882088,0.66953045129776,0.5481101274490356,0.8698700666427612,-0.09015564620494843,0.9866681098937988,0.6683844327926636,0.789016842842102,0.06638402491807938,0.9013687968254089,0.5669938921928406,0.8861021995544434,-0.0855107381939888,0.9808030128479004,0.6911056041717529,0.7935273051261902,0.06780488044023514,0.909723162651062,0.5034103989601135,0.9102932214736938,-0.1522512286901474,0.9834150075912476,0.6671054363250732,0.9047850370407104,0.013699340634047985,0.8987787961959839
7,0.47422972321510315,0.19644057750701904,-0.04070884361863136,0.9987500309944153,0.4756444990634918,0.17799554765224457,-0.06491199880838394,0.9983567595481873,0.47691771388053894,0.17725121974945068,-0.06495500355958939,0.998167872428894,0.47814953327178955,0.17630039155483246,-0.06492103636264801,0.9986268281936646,0.47463515400886536,0.17680630087852478,-0.026872314512729645,0.9984568357467651,0.4753028154373169,0.1752711832523346,-0.02691914327442646,0.9980834722518921,0.4760356843471527,0.17332684993743896,-0.027049751952290535,0.9986979961395264,0.49051883816719055,0.1745007485151291,-0.12142015993595123,0.9977024793624878,0.489525705575943,0.1702519953250885,0.045553967356681824,0.9971262216567993,0.4829024076461792,0.20671269297599792,-0.05871322378516197,0.9985731244087219,0.4815908968448639,0.20666460692882538,-0.010025430470705032,0.9976251721382141,0.5341570973396301,0.2404685765504837,-0.2119571566581726,0.9995304942131042,0.5181636214256287,0.24555587768554688,0.15689913928508759,0.9994532465934753,0.5122520327568054,0.36232420802116394,-0.2674422860145569,0.9794682264328003,0.500502347946167,0.35753533244132996,0.20172497630119324,0.3338727653026581,0.46764105558395386,0.4196251332759857,-0.23752857744693756,0.9618774652481079,0.45927637815475464,0.4193911850452423,0.11543650180101395,0.5609496235847473,0.45342791080474854,0.43251702189445496,-0.2701227366924286,0.9391244053840637,0.44639357924461365,0.4333501160144806,0.11070413887500763,0.5312942266464233,0.45167776942253113,0.4252588748931885,-0.2636503577232361,0.9353052973747253,0.4454725682735443,0.4270382523536682,0.08004331588745117,0.5510776042938232,0.4571908414363861,0.4213036894798279,-0.2330676019191742,0.9031418561935425,0.4512535035610199,0.42315492033958435,0.09839434921741486,0.5705273747444153,0.6039713025093079,0.46225911378860474,-0.11151929199695587,0.997039258480072,0.5881478190422058,0.45977264642715454,0.11156588047742844,0.9981515407562256,0.5729600191116333,0.6616895198822021,-0.1559029072523117,0.9270902276039124,0.5762679576873779,0.6509998440742493,0.04259786754846573,0.6580313444137573,0.5524724721908569,0.8730289936065674,-0.08185672760009766,0.9857796430587769,0.6610870957374573,0.7839136719703674,0.11557937413454056,0.8846875429153442,0.5653070211410522,0.8940563201904297,-0.07642340660095215,0.9803145527839661,0.6843094229698181,0.7864968180656433,0.12099221348762512,0.8981655836105347,0.5038541555404663,0.9135849475860596,-0.14492274820804596,0.9818980097770691,0.6615169048309326,0.8928086757659912,0.07586713135242462,0.8805282711982727
8,0.4737190008163452,0.19792188704013824,-0.0407346710562706,0.9988182187080383,0.47507017850875854,0.17903316020965576,-0.06407741457223892,0.9984259009361267,0.47634121775627136,0.17827169597148895,-0.06412209570407867,0.9982461333274841,0.47758978605270386,0.1772913932800293,-0.06410172581672668,0.9986851215362549,0.47414425015449524,0.17779122292995453,-0.02620694413781166,0.9985104203224182,0.4748736023902893,0.1761934906244278,-0.026246674358844757,0.998159646987915,0.4756874442100525,0.1741785854101181,-0.026351992040872574,0.9987502694129944,0.48993390798568726,0.17539216578006744,-0.11886580288410187,0.9978195428848267,0.4893185496330261,0.1710883378982544,0.04827803000807762,0.9972594976425171,0.4826804995536804,0.20834828913211823,-0.058382146060466766,0.9986594915390015,0.48144033551216125,0.20815549790859222,-0.009757760912179947,0.9977558851242065,0.5343853831291199,0.24010930955410004,-0.20795917510986328,0.9995641708374023,0.5182936787605286,0.24547737836837769,0.15968097746372223,0.9994762539863586,0.5143888592720032,0.3630657196044922,-0.23978513479232788,0.9798018336296082,0.5054877400398254,0.35898682475090027,0.21172040700912476,0.33988919854164124,0.4681406319141388,0.42032769322395325,-0.1615956425666809,0.9623139500617981,0.4618377387523651,0.41938841342926025,0.12713250517845154,0.5631904602050781,0.4537338316440582,0.4340556859970093,-0.18727613985538483,0.9398501515388489,0.44781115651130676,0.4337925314903259,0.12777596712112427,0.5331690907478333,0.4515681564807892,0.42667365074157715,-0.18546049296855927,0.9362194538116455,0.4470025599002838,0.42720985412597656,0.09485457837581635,0.5534080862998962,0.4572407007217407,0.4222339391708374,-0.15754860639572144,0.9040119647979736,0.4531141519546509,0.4231247007846832,0.10928471386432648,0.5720316767692566,0.6126653552055359,0.46023404598236084,-0.11053276062011719,0.9972106218338013,0.5901086330413818,0.45979514718055725,0.11058030277490616,0.998253345489502,0.5763901472091675,0.6654828786849976,-0.15359561145305634,0.9308332204818726,0.569698691368103,0.6528671383857727,0.03773822262883186,0.6675234436988831,0.5778806805610657,0.8730642795562744,-0.04476236179471016,0.9858673214912415,0.6500493884086609,0.7854152321815491,0.11536110937595367,0.8845080137252808,0.60558021068573,0.8768711090087891,-0.034895338118076324,0.9790310263633728,0.6766912341117859,0.7880520820617676,0.12010399252176285,0.8949192762374878,0.5483999848365784,0.9233644008636475,-0.10029523074626923,0.9819414615631104,0.6442619562149048,0.8938292860984802,0.07157580554485321,0.8805192112922668
9,0.4736926853656769,0.20020286738872528,-0.030592454597353935,0.9988678097724915,0.4748958945274353,0.18075032532215118,-0.054974887520074844,0.9984757304191589,0.4761885404586792,0.17981214821338654,-0.055035047233104706,0.998308539390564,0.47747573256492615,0.17864038050174713,-0.0550326332449913,0.9987394213676453,0.4739089906215668,0.17973622679710388,-0.01543385349214077,0.9985547661781311,0.47462767362594604,0.1781008541584015,-0.015472847037017345,0.9982212781906128,0.4754558801651001,0.17602083086967468,-0.015584313310682774,0.9987926483154297,0.48986580967903137,0.17620538175106049,-0.11490921676158905,0.997901201248169,0.4892136752605438,0.1722857654094696,0.060311779379844666,0.9973682761192322,0.48270922899246216,0.21037481725215912,-0.0498134009540081,0.9987037777900696,0.48145532608032227,0.21032169461250305,0.0011433175532147288,0.9977892637252808,0.5342839956283569,0.23933710157871246,-0.20523439347743988,0.9995949268341064,0.5191006064414978,0.24512521922588348,0.1777987778186798,0.9994768500328064,0.5142819285392761,0.36344248056411743,-0.2261447161436081,0.9796531796455383,0.5084084868431091,0.3589912950992584,0.2383778989315033,0.3325646221637726,0.46815353631973267,0.42141610383987427,-0.14806970953941345,0.9621438980102539,0.4643864035606384,0.4196583926677704,0.1606629490852356,0.5529558062553406,0.4538941979408264,0.435494601726532,-0.17381706833839417,0.9398012161254883,0.4491643011569977,0.4347590506076813,0.1552300900220871,0.5236331820487976,0.45153993368148804,0.42849108576774597,-0.1729438453912735,0.9362724423408508,0.44849321246147156,0.428327351808548,0.1272977739572525,0.5440667867660522,0.45728686451911926,0.4237366318702698,-0.1443910002708435,0.9035637974739075,0.45469406247138977,0.4239172339439392,0.14396004378795624,0.5623837113380432,0.615456223487854,0.45789793133735657,-0.11327526718378067,0.9973689913749695,0.5909315943717957,0.45950883626937866,0.11332031339406967,0.9983403086662292,0.5784372687339783,0.6650488376617432,-0.16376681625843048,0.9332268238067627,0.5605016946792603,0.6494799852371216,0.01433965377509594,0.679804265499115,0.5817357897758484,0.8791652917861938,-0.0760035291314125,0.9864192605018616,0.6435173749923706,0.7859636545181274,0.09724090993404388,0.8846863508224487,0.593022882938385,0.9025670886039734,-0.06714384257793427,0.9787448048591614,0.6697140336036682,0.7883857488632202,0.10394295305013657,0.8937000036239624,0.5322371125221252,0.9231785535812378,-0.15540865063667297,0.9825722575187683,0.6370031833648682,0.8906331658363342,0.06522373855113983,0.8814183473587036
